date_from;date_until;country_name;region_name;description;work
2020-05-31;2020-06-01;GER;;Pfingsten (German: Pentecost);0
2020-06-11;;GER;BW;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;BY;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;HE;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;NW;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;RP;Fronleichnam (German: Feast of Corpus Christi);0
2020-06-11;;GER;SL;Fronleichnam (German: Feast of Corpus Christi);0
2020-08-15;;GER;SL;Mariä Himmelfahrt (German: Assumption of Mary);0
2020-10-03;;GER;;Tag der Deutschen Einheit (German: Day of German Unity);0
2020-10-31;;GER;BB;Reformationstag (German: Reformation Day);0
2020-10-31;;GER;MV;Reformationstag (German: Reformation Day);0
2020-10-31;;GER;SN;Reformationstag (German: Reformation Day);0
2020-10-31;;GER;ST;Reformationstag (German: Reformation Day);0
2020-10-31;;GER;TH;Reformationstag (German: Reformation Day);0
2020-11-01;;GER;BW;Allerheiligen (German: All Saints' Day);0
2020-11-01;;GER;BY;Allerheiligen (German: All Saints' Day);0
2020-11-01;;GER;NW;Allerheiligen (German: All Saints' Day);0
2020-11-01;;GER;RP;Allerheiligen (German: All Saints' Day);0
2020-11-01;;GER;SL;Allerheiligen (German: All Saints' Day);0
2020-11-18;;GER;SN;Buß- und Bettag (German: Day of Repentance and Prayer);0
2020-12-25;2020-12-26;GER;;Weihnachten (German: Christmas);0
