code;label
pcs;pieces
sets;sets as specified
t;metric tons (1000 kg)
m;meters
m²;square meters
m³;cubic meters
d;calendar days
wd;working days
MW;megawatts
kV;kilovolts
h;hours
min;minutes
L;liters
